Unit ID,Sector,MSI Status,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,Net Price,Cost of Attendance: In State,Cost of Attendance: Out of State,Cost of Attendance: In District,Affordability Gap (net price minus income earned working 10 hrs at min wage),Weekly Hours to Close Gap,State Minimum Wage,Income Earned from Working 10 Hours a Week at State's Minimum Wage,Monthly Center-Based Child Care Cost,Annual Center-Based Child Care Cost,Adjusted Monthly Center-Based Child Care Cost,Monthly Home-Based Child Care Cost,Adjusted Monthly Home-Based Child Care Cost,Annual Home-Based Child Care Cost,Latitude,Longitude,Region #,Institution Name,City,State Abbreviation,Sector Name,MSI Type,"Cost of Attendance: In State, On Campus",County Name,Zip Code,Region,Highest Degree Offered Name,Highest Level Offered Name,Institution Size Category Name,UNIQUE_IDENTIFICATION_NUMBER_OF_THE_INSTITUTION,City of Institution,Institution Type,Sector of Institution,"Average Net Price After Grants, 2020-21","Average Net Price After Grants, 2019-20","Average Net Price After Grants, 2018-19","Percent of First-Time, Full-Time Undergraduates Awarded Pell Grants","Percent Full-time, First-time, Pell Grant Recipients Receiving an Award - 6 Years","Percent Full-time, First-time, Pell Grant Recipients Still Enrolled at Same Institution - 8 Years",Bachelor's Degree Graduation Rate Bachelor Degree Within 6 Years - Total,Bachelor's Degree Graduation Rate Within 4 Years - Total,Bachelor's Degree Graduation Rate Within 5 Years - Total,"First-Time, Full-Time Retention Rate","Percent of Full-time, First-time Degree-Seeking Undergraduates","Average Amount of Institutional Grant Aid Awarded to First-Time, Full-Time Undergraduates","Average Amount of Federal, State, Local, or Institutional Grant Aid Awarded","Percent of First-Time, Full-Time Undergraduates Awarded Federal, State, Local or Institutional Grant Aid",Number of Undergraduates Enrolled,Institution Size Category,Instructional Expenses Per FTE,Instructional Expenses FASB per FTE,Endowment Assets FASB per Student,Hispanic-serving Institution (HSI),Predominantly Black Institution (PBI),Asian American or Native American Pacific Islander-Serving Institution (AANAPISI),Native American Non-Tribal Institution (NANTI),Historically Black College or University (HBCU),Tribal College or University (TCU),Median Earnings of Students Working and Not Enrolled 10 Years After Entry,Median Earnings of Dependent Students Working and Not Enrolled 10 Years After Entry,Median Earnings of Independent Students Working and Not Enrolled 10 Years After Entry,LATITUDE,LONGITUDE
100654,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16285.4,23817.0,32427.0,23817.0,12660.4,34.92,7.25,72.5,1023.2,12278.4,1103.21,986.4,1063.54,11836.8,34.78,-86.57,3.0,Alabama A & M University,Normal,AL,"Public, 4-year or above",HBCU,27482,Madison County,35762,South,Doctor's degree - research/scholarship,Doctor's degree,"5,000 - 9,999",100654,Normal,Public Four-Year,1,12921.0,15373.0,14604.0,67.0,28.0,3.0,28.0,11.0,24.0,58.0,28.0,7714.0,11047.0,84.0,4529.0,3,7699.0,,,,0.0,0.0,0.0,1.0,0.0,47921.5,35424.0,40299.0,35,-87
100663,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18248.2,25346.0,38378.0,25346.0,14623.2,40.339999999999996,7.25,72.5,1023.2,12278.4,1103.21,986.4,1063.54,11836.8,33.51,-86.8,3.0,University of Alabama at Birmingham,Birmingham,AL,"Public, 4-year or above",,29379,Jefferson County,35294-0110,South,Doctor's degree - research/scholarship and professional practice,Doctor's degree,"20,000 and above",100663,Birmingham,Public Four-Year,1,16990.0,16978.0,17068.0,34.0,54.0,2.0,62.0,42.0,58.0,84.0,17.0,9520.0,10940.0,93.0,10401.0,5,14264.0,,,,0.0,0.0,0.0,0.0,0.0,47921.5,46435.0,48182.0,34,-87
100690,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,7.25,72.5,1023.2,12278.4,1103.21,986.4,1063.54,11836.8,32.36,-86.17,3.0,Amridge University,Montgomery,AL,"Private not-for-profit, 4-year or above",,,Montgomery County,36117-3553,South,Doctor's degree - research/scholarship,Doctor's degree,"Under 1,000",100690,Montgomery,Private Not-For-Profit Four-Year,2,,,,,33.0,0.0,67.0,67.0,67.0,,0.0,,,,136.0,1,4381.0,4381.0,318.0,,0.0,0.0,0.0,0.0,0.0,36041.0,,39040.0,32,-86
100706,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19757.0,26063.0,38955.0,26063.0,16132.0,44.5,7.25,72.5,1023.2,12278.4,1103.21,986.4,1063.54,11836.8,34.72,-86.64,3.0,University of Alabama in Huntsville,Huntsville,AL,"Public, 4-year or above",,29770,Madison County,35899,South,Doctor's degree - research/scholarship and professional practice,Doctor's degree,"5,000 - 9,999",100706,Huntsville,Public Four-Year,1,17302.0,16990.0,15118.0,24.0,39.0,1.0,61.0,35.0,57.0,79.0,16.0,9643.0,10727.0,94.0,6223.0,3,8156.0,,,,0.0,0.0,0.0,0.0,0.0,47921.5,53803.0,56884.0,35,-87
100724,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14069.6,22402.0,30730.0,22402.0,10444.6,28.82,7.25,72.5,1023.2,12278.4,1103.21,986.4,1063.54,11836.8,32.36,-86.3,3.0,Alabama State University,Montgomery,AL,"Public, 4-year or above",HBCU,23930,Montgomery County,36104-0271,South,Doctor's degree - research/scholarship and professional practice,Doctor's degree,"1,000 - 4,999",100724,Montgomery,Public Four-Year,1,12875.0,13282.0,13476.0,74.0,28.0,1.0,28.0,10.0,23.0,64.0,23.0,9873.0,10796.0,93.0,3055.0,2,9459.0,,,,0.0,0.0,0.0,1.0,0.0,47921.5,32364.0,30602.0,32,-86
100733,0.0,,,,,,,,,,,,,,,7.25,72.5,1023.2,12278.4,1103.21,986.4,1063.54,11836.8,33.21,-87.53,3.0,University of Alabama System Office,Tuscaloosa,AL,Administrative Unit,,,Tuscaloosa County,35401,South,Doctor's degree - research/scholarship and professional practice,Doctor's degree,Not applicable,100733,Tuscaloosa,Other,0,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,33,-88
100751,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22549.0,29041.0,50341.0,29041.0,18924.0,52.220000000000006,7.25,72.5,1023.2,12278.4,1103.21,986.4,1063.54,11836.8,33.21,-87.55,3.0,The University of Alabama,Tuscaloosa,AL,"Public, 4-year or above",,33382,Tuscaloosa County,35487-0100,South,Doctor's degree - research/scholarship and professional practice,Doctor's degree,"20,000 and above",100751,Tuscaloosa,Public Four-Year,1,21263.0,20518.0,20623.0,19.0,55.0,1.0,72.0,53.0,69.0,89.0,24.0,15703.0,16363.0,76.0,28124.0,5,8912.0,,,,0.0,0.0,0.0,0.0,0.0,47921.5,52977.0,51052.0,33,-88
100760,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15915.0,14565.0,17105.0,14565.0,12290.0,33.9,7.25,72.5,1023.2,12278.4,1103.21,986.4,1063.54,11836.8,32.92,-85.95,3.0,Central Alabama Community College,Alexander City,AL,"Public, 2-year",,.,Tallapoosa County,35010,South,Associate's degree,Associate's degree,"1,000 - 4,999",100760,Alexander City,Public Two-Year,4,8885.0,3776.0,4852.0,49.0,24.0,0.0,,,,64.0,14.0,4541.0,5626.0,88.0,494.0,2,8098.0,,,,0.0,0.0,0.0,0.0,0.0,27937.0,34777.0,29184.0,33,-86
100812,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,7.25,72.5,1023.2,12278.4,1103.21,986.4,1063.54,11836.8,34.81,-86.96,3.0,Athens State University,Athens,AL,"Public, 4-year or above",,,Limestone County,35611,South,Master's degree,Master's degree,"1,000 - 4,999",100812,Athens,Public Four-Year,1,,,,,,,,,,,0.0,,,,1136.0,2,7908.0,,,,0.0,0.0,0.0,0.0,0.0,47921.5,41399.0,42619.0,35,-87
100830,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15531.4,22124.0,32780.0,22124.0,11906.4,32.82,7.25,72.5,1023.2,12278.4,1103.21,986.4,1063.54,11836.8,32.37,-86.18,3.0,Auburn University at Montgomery,Montgomery,AL,"Public, 4-year or above",PBI,22782,Montgomery County,36117-3596,South,Doctor's degree - research/scholarship and professional practice,Doctor's degree,"5,000 - 9,999",100830,Montgomery,Public Four-Year,1,14322.0,14182.0,14559.0,60.0,24.0,2.0,36.0,13.0,30.0,63.0,13.0,3594.0,6916.0,98.0,3017.0,3,7040.0,,,,1.0,0.0,0.0,0.0,0.0,47921.5,41813.0,41548.0,32,-86
